Form	Hyphenation
desa	de➊sa
desakan	de➋sak➊an
Desember	De➊sem➊ber
detik	de➊tik
dewan	de➊wan
dewasa	de➊wa➊sa
diadakan	di➊a➋da➊kan
diadili	di➊a➋di➋li
diajukan	di➊a➋ju➊kan
diakui	di➊a➋kui
dialami	di➊a➋la➋mi
dialog	di➊a➊log
diam	di➊am
diambil	di➊am➋bil
dianggap	di➊ang➋gap
diangkat	di➊ang➋kat
diantara	di➊an➋ta➋ra
diantaranya	di➊an➋ta➋ra➊nya
dibahas	di➊ba➋has
dibanding	di➊ban➋ding
dibandingkan	di➊ban➋ding➊kan
dibangun	di➊bangun
dibawa	di➊ba➋wa
dibayar	di➊ba➋yar
dibebaskan	di➊be➋bas➊kan
dibentuk	di➊ben➋tuk
diberi	di➊be➋ri
diberikan	di➊be➋ri➊kan
diberitakan	di➊be➋ri➋ta➊kan
diberlakukan	di➊ber➊la➋ku➊kan
dibicarakan	di➊bi➋ca➋ra➊kan
dibuat	di➊bu➋at
dibuka	di➊bu➋ka
dibunuh	di➊bu➋nuh
dibutuhkan	di➊bu➋tuh➊kan
dicapai	di➊ca➋pai
diculik	di➊cu➋lik
didirikan	di➊di➋ri➊kan
diduga	di➊du➋ga
didukung	di➊du➋kung
digelar	di➊ge➋lar
digital	di➊gi➊tal
digunakan	di➊gu➋na➊kan
dihadapi	di➊ha➋da➋pi
dihadiri	di➊ha➋di➋ri
diharapkan	di➊ha➋rap➊kan
dihentikan	di➊hen➋ti➊kan
dihukum	di➊hu➋kum
diikuti	di➊i➋ku➋ti
diinginkan	di➊ingin➊kan
dijadikan	di➊ja➋di➊kan
dijadwalkan	di➊jad➋wal➊kan
dijaga	di➊ja➋ga
dijalankan	di➊ja➋lan➊kan
dijatuhi	di➊ja➋tu➋hi
dijatuhkan	di➊ja➋tuh➊kan
dijelaskan	di➊je➋las➊kan
dijual	di➊ju➋al
dikabarkan	di➊ka➋bar➊kan
dikatakan	di➊ka➋ta➊kan
dikatakannya	di➊ka➋ta➊kan➊nya
dikeluarkan	di➊ke➋lu➋ar➊kan
dikembangkan	di➊kem➋bang➊kan
dikenal	di➊ke➋nal
dikerahkan	di➊ke➋rah➊kan
diketahui	di➊ke➋ta➋hui
dikhawatirkan	di➊kha➋wa➋tir➊kan
dikirim	di➊ki➋rim
dikritik	di➊kri➋tik
diktator	dik➊ta➊tor
dikuasai	di➊kua➋sai
dikutip	di➊ku➋tip
dilaksanakan	di➊lak➋sa➋na➊kan
dilakukan	di➊la➋ku➋kan
dilakukannya	di➊la➋ku➊kan➊nya
dilancarkan	di➊lan➋car➊kan
dilanda	di➊lan➋da
dilanjutkan	di➊lan➋jut➊kan
dilaporkan	di➊la➋por➊kan
dilarang	di➊la➋rang
dilengkapi	di➊leng➋ka➋pi
dilihat	di➊li➋hat
dilindungi	di➊lin➋dungi
dilontarkan	di➊lon➋tar➊kan
diluncurkan	di➊lun➋cur➊kan
dimaksud	di➊mak➋sud
dimana	di➊ma➋na
dimanfaatkan	di➊man➋faat➊kan
dimiliki	di➊mi➋li➋ki
diminta	di➊min➋ta
dimulai	di➊mu➋lai
dimulainya	di➊mu➋lai➊nya
dinas	di➊nas
dingin	di➊ngin
dini	di➊ni
dinilai	di➊ni➋lai
dinyatakan	di➊nya➋ta➊kan
dipakai	di➊pa➋kai
dipaksa	di➊pak➋sa
dipandang	di➊pan➋dang
dipastikan	di➊pas➋ti➊kan
dipenjara	di➊pen➋ja➋ra
dipenuhi	di➊pe➋nu➋hi
dipercaya	di➊per➋ca➋ya
diperiksa	di➊pe➋rik➋sa
diperkirakan	di➊per➊ki➋ra➊kan
diperlukan	di➊per➋lu➊kan
diperoleh	di➊per➊oleh
dipicu	di➊pi➋cu
